Reference,Value,Component Type,Footprint
J301,1x2 Male Pin,1x2 Male Pin,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
J9001,1x2 Male Pin,1x2 Male Pin,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
J9002,1x2 Male Pin,1x2 Male Pin,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
J9100,1x2 Male Pin,1x2 Male Pin,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
J9004,1x3 Male Pin,1x3 Male Pin,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
U101,Agnus,Agnus Socket,Package_LCC:PLCC-84_THT-Socket
CN400,ATX Power Supply Socket,ATX 24,Connector_Molex:Molex_Mini-Fit_Jr_5566-24A_2x12_P4.20mm_Vertical
CN205,Audio Jack,Audio Jack,Connector_Audio:Jack_3.5mm_CUI_SJ1-3533NG_Horizontal_CircularHoles
BT800,Battery Cell,Battery Holder,Battery:BatteryHolder_Keystone_103_1x20mm
U800,BUSTER,Buster Socket,Package_DIP:DIP-48_W15.24mm
C204,0.01uF,Capacitor (ceramic),Capacitor_SMD:C_1206_3216Metric
C401,0.01uf,Capacitor (ceramic),Capacitor_SMD:C_1206_3216Metric
C407,0.01uf,Capacitor (ceramic),Capacitor_SMD:C_1206_3216Metric
C413,0.01uf,Capacitor (ceramic),Capacitor_SMD:C_1206_3216Metric
C210,0.047uF,Capacitor (ceramic),Capacitor_SMD:C_1206_3216Metric
C211,0.047uF,Capacitor (ceramic),Capacitor_SMD:C_1206_3216Metric
C212,0.047uF,Capacitor (ceramic),Capacitor_SMD:C_1206_3216Metric
C213,0.047uF,Capacitor (ceramic),Capacitor_SMD:C_1206_3216Metric
C100,0.1uF,Capacitor (ceramic),Capacitor_SMD:C_1206_3216Metric
C101,0.1uF,Capacitor (ceramic),Capacitor_SMD:C_1206_3216Metric
C102,0.1uF,Capacitor (ceramic),Capacitor_SMD:C_1206_3216Metric
C103,0.1uF,Capacitor (ceramic),Capacitor_SMD:C_1206_3216Metric
C104,0.1uF,Capacitor (ceramic),Capacitor_SMD:C_1206_3216Metric
