Item,Qty,Value,Component Type,Footprint,Comments,Digikey Part
1,1,MC7905,-5V Voltage Regulator,TO-263-3,,296-20799-2-ND
2,3,ISA-16-BIT-Slot,16 Bit ISA Slot,-,,S3329-ND
3,4,Male Pin Header,"1x02 Male Pin Header, 2.54 Pitch",,,
4,1,Case Fan,1x03 Fan Header,,,WM4201-ND
5,1,Male Pin Header,"1x03 Male Pin Header, 2.54 Pitch",,,
6,1,Male Pin Header,"1x06 Male Pin Header, 2.54 Pitch",,,
7,1,EXTERNAL FLOPPY,"2x10 Male Pin Header, 2.54 Pitch",-,,
8,1,INTERNAL FLOPPY,"2x17 Male Pin Header, 2.54 Pitch",-,,
9,2,Amiga-2000-Video-Slot,2x18 Card Edge Slot,-,Video Slot,A31716-ND
10,1,Amiga-2000-CPU-Slot,2x43 Card Edge Slot,-,CPU Slot,A144213-ND
11,5,Amiga-2000-Zorro-Slot,2x50 Card Edge Slot,-,Zorro 2 Slot,A121376-ND
12,1,AudioJack,3.5mm Stereo Audio Jack,-,,CP1-3533N-ND
13,1,ATX-24,"ATX Power, Female",-,,WM3811-ND
14,4,0.01uF,"Capacitor, Ceramic",1206,10000pF,
16,4,0.047uF,"Capacitor, Ceramic",1206,,
17,62,0.1uF,"Capacitor, Ceramic",1206,,
20,10,0.22uF,"Capacitor, Ceramic",1206,,
21,1,0.33uF,"Capacitor, Ceramic",1206,,
22,51,1000pF,"Capacitor, Ceramic",1206,,
25,10,100pF,"Capacitor, Ceramic",1206,,
27,3,10uF,"Capacitor, Ceramic",1206,,
28,1,1uF,"Capacitor, Ceramic",1206,,
29,1,20pF,"Capacitor, Ceramic",1206,,
30,1,22pF,"Capacitor, Ceramic",1206,,
31,1,270pf,"Capacitor, Ceramic",1206,,
32,2,3900pF,"Capacitor, Ceramic",1206,,
33,2,47pF,"Capacitor, Ceramic",1206,,
35,2,6800pF,"Capacitor, Ceramic",1206,,
36,13,80R,Ferrite Bead,1206,,
23,47,1000pF,"Capacitor, Ceramic",805,,
40,3,4.7uF,"Capacitor, Electrolytic",4x5.8,,
39,7,22uF,"Capacitor, Electrolytic",6.3x5.8,,
37,5,220uF,"Capacitor, Electrolytic",8x10,,
41,4,470uF,"Capacitor, Electrolytic",8x10,,
