Ref,Value
BT800,Battery_Cell
C100,0.1uF
C101,0.1uF
C102,0.1uF
C103,0.1uF
C104,0.1uF
C105,0.1uF
C106,0.1uF
C107,0.1uF
C108,0.1uF
C110,0.1uF
C200,0.1uF
C201,0.22uF
C202,0.1uF
C203,0.1uF
C204,0.01uF
C205,0.1uF
C206,0.1uF
C210,0.047uF
C211,0.047uF
C212,0.047uF
C213,0.047uF
C214,470uF
C218,0.1uF
C219,0.22uF
C220,0.22uF
C221,0.22uF
C222,47uF
C223,47uF
C224,4.7uF
C225,470uF
C226,470uF
C231,6800pF
C232,3900pF
C233,22uF
C234,0.1uF
C241,6800pF
C242,3900pF
C243,22uF
C244,0.1uF
C259,100pF
C260,100pF
C261,100pF
C300,0.1uF
C301,0.1uF
C302,0.1uF
C303,0.1uF
C304,100pF
C305,0.1uF
C306,100pF
C310,1000pF
C311,1000pF
C312,1000pF
C313,1000pF
C314,1000pF
C315,1000pF
C316,1000pF
C317,22uF
C318,22uF
C400,220uF
C401,0.01uf
C402,47uF
C403,47uF
C404,47uF
C405,47uF
C406,47uF
C407,0.01uf
C408,47uF
C409,0.1uf
C412,47uF
C413,0.01uf
C415,4.7uF
C416,220uF
C417,220uF
C418,220uF
C419,220uF
C420,47uF
C421,47uF
C422,47uF
C500,0.22uF
C501,0.1uF
C502,0.1uF
C503,0.1uF
C504,0.1uF
C540,0.1uF
C541,0.1uF
C600,0.1uF
C601,0.1uF
C602,0.1uF
C603,0.1uF
C604,0.1uF
C605,0.1uF
C606,0.1uF
C607,0.1uF
C617,1000pF
C619,1000pF
C620,1000pF
C621,1000pF
C622,1000pF
C623,1000pF
C624,1000pF
C625,1000pF
C626,1000pF
C627,1000pF
C628,1000pF
C629,1000pF
C630,1000pF
C631,1000pF
C632,1000pF
C633,1000pF
C635,1000pF
C637,1000pF
C639,1000pF
C641,1000pF
C645,1000pF
C647,1000pF
C649,1000pF
C650,1000pF
C651,1000pF
C652,1000pF
C654,1000pF
C655,1000pF
C657,1000pF
C658,1000pF
C659,1000pF
C660,1000pF
C661,1000pF
C662,1000pF
C663,1000pF
C664,1000pF
C665,1000pF
C666,1000pF
C667,1000pF
C668,1000pF
C669,1000pF
C670,1000pF
C671,1000pF
C672,1000pF
C673,1000pF
C674,1000pF
C675,1000pF
C700,0.22uF
C701,22uF
C702,0.22uF
C703,0.22uF
C704,0.22uF
C705,0.22uF
C711,1000pF
C713,1000pF
C714,1000pF
C716,1000pF
C717,1000pF
C719,1000pF
C720,1000pF
C722,1000pF
C726,1000pF
C728,1000pF
C730,1000pF
C732,1000pF
C734,1000pF
C736,1000pF
C738,1000pF
C740,1000pF
C742,1000pF
C744,1000pF
C746,1000pF
C748,1000pF
C750,1000pF
C752,1000pF
C754,1000pF
C756,1000pF
C758,1000pF
C760,1000pF
C762,1000pF
C764,1000pF
C766,1000pF
C768,1000pF
C770,1000pF
C776,1000pF
C778,1000pF
C780,1000pF
C782,1000pF
C784,1000pF
C786,1000pF
C787,1000pF
C789,1000pF
C790,1000pF
