Quantity,Description,Digi-Key Part Number,Manufacturer Part Number,Manufacturer Name,Unit Price,Extended Price,Customer Reference
58,RES SMD 1K OHM 1% 1/4W 1206,311-1.00KFRCT-ND,RC1206FR-071KL,Yageo,0.07400,$4.29,
57,CAP CER 0.1UF 50V X7R 1206,399-C1206C104K5RAC7800CT-ND,C1206C104K5RAC7800,KEMET,0.04520,$2.58,
1,CONN CARDEDGE FEMALE 86POS 0.100,A144213-ND,1-5530843-0,TE Connectivity AMP Connectors,7.74000,$7.74,CPU Slot
2,CONN CARDEDGE FEMALE 36POS 0.100,A31716-ND,5530843-3,TE Connectivity AMP Connectors,3.19000,$6.38,Video Slot
5,CONN EDGE DUAL FMALE 100POS .100,A121376-ND,5645235-3,TE Connectivity AMP Connectors,7.81000,$39.05,Zorro Slot
1,CONN RCPT FMALE DIN 5POS SOLDER,CP-2350-ND,SDS-50J,CUI Devices,1.62000,$1.62,Keyboard DIN
3,CONN ISA FEMALE 98POS 0.100 GOLD,S3329-ND,EBC49DCWN-S420,Sullins Connector Solutions,8.04000,$24.12,ISA Slots
1,CONN D-SUB PLUG/RCPT 25P R/A SLD,AE10996-ND,ASUB-277-25TP24,Assmann WSW Components,6.69000,$6.69,Serial/Parallel
1,CONN D-SUB HD RCPT 15P R/A SLDR,AE11024-ND,AHDF15A-KG-TAXB,Assmann WSW Components,1.30000,$1.30,Video Port
1,CONN SOCKET PLCC 84POS TIN,3M8411B1-ND,8484-11B1-RK-TP,3M,2.73000,$2.73,Agnus Socket
1,CONN IC DIP SOCKET 64POS TINLEAD,ED3764-ND,110-99-964-41-001000,Mill-Max Manufacturing Corp.,3.77000,$3.77,CPU Socket
4,CONN IC DIP SOCKET 48POS TIN,3M5484-ND,4848-6004-CP,3M,1.22000,$4.88,"Gary, Denise, Paula, Buster Socket"
2,CONN IC DIP SOCKET 40POS TIN,3M5483-ND,4840-6004-CP,3M,1.04000,$2.08,Kickstart and CIA Socket
1,CONN JACK STEREO 3.5MM R/A,CP1-3533N-ND,SJ1-3533N,CUI Devices,1.24000,$1.24,Sound Jack
1,CONN HEADER VERT 24POS 4.2MM,WM3811-ND,0039281243,Molex,3.88000,$3.88,ATX Power Connector
2,IC GATE NAND 4CH 2-INP 14SOIC,296-14860-1-ND,SN74HCT00DR,Texas Instruments,0.44000,$0.88,
1,DIODE ARRAY SCHOTTKY 30V SOT23,1655-1412-1-ND,BAT54CTR,SMC Diode Solutions,0.43000,$0.43,
4,CAP CER 10000PF 100V X7R 1206,399-1236-1-ND,C1206C103K1RACTU,KEMET,0.19000,$0.76,0.01 uF on silk screen
4,CAP CER 0.047UF 50V X7R 1206,399-1246-1-ND,C1206C473K5RACTU,KEMET,0.19000,$0.76,
10,CAP CER 0.22UF 50V X7R 1206,399-1251-1-ND,C1206C224K5RACTU,KEMET,0.14100,$1.41,
2,CAP CER 6800PF 50V X7R 1206,399-1232-1-ND,C1206C682K5RACTU,KEMET,0.38000,$0.76,
2,CAP CER 3900PF 50V X7R 1206,399-1229-1-ND,C1206C392K5RACTU,KEMET,0.38000,$0.76,
98,CAP CER 1000PF 50V X7R 1206,399-C1206C102K5RAC7210CT-ND,C1206C102K5RAC7210,KEMET,0.07760,$7.60,
1,CAP CER 1UF 16V X7R 1206,399-1254-1-ND,C1206C105K4RACTU,KEMET,0.19000,$0.19,
1,CAP CER 0.33UF 16V X7R 1206,399-1253-1-ND,C1206C334K4RACTU,KEMET,0.25000,$0.25,
3,CAP CER 10UF 16V X5R 1206,399-C1206C106K4PAC7210CT-ND,C1206C106K4PAC7210,KEMET,0.31000,$0.93,
10,CAP CER SMD 1206 100PF 50V 10% X,399-17651-1-ND,C1206C101K5RAC7800,KEMET,0.28800,$2.88,
43,CAP FEEDTHRU 100PF 100V 1206,478-11171-1-ND,W3F11A1018AT1F,AVX Corporation,0.33200,$14.28,
2,DIODE GEN PURP 75V 300MA SOD323,1655-1359-1-ND,1N4148WSTR,SMC Diode Solutions,0.14000,$0.28,
2,FUSE BOARD MOUNT 4A 32VDC 1206,SF-1206S400-2CT-ND,SF-1206S400-2,Bourns Inc.,0.84000,$1.68,
4,CAP ALUM 470UF 20% 10V SMD,493-2252-1-ND,UUD1A471MNL1GS,Nichicon,0.78000,$3.12,
12,CAP ALUM 47UF 20% 35V SMD,493-6458-1-ND,UUA1V470MNL1GS,Nichicon,0.54600,$6.55,
7,CAP ALUM 22UF 20% 25V SMD,493-9513-1-ND,UUL1E220MCL1GS,Nichicon,0.75000,$5.25,
3,CAP ALUM 4.7UF 20% 35V SMD,493-9537-1-ND,UUL1V4R7MCL1GS,Nichicon,0.74000,$2.22,
2,CAP CER 47PF 50V C0G/NP0 1206,399-8191-1-ND,C1206C470K5GACTU,KEMET,0.20000,$0.40,
3,TRANS NPN 40V 0.2A SOT23,MMBT3904TPMSCT-ND,MMBT3904-TP,Micro Commercial Co,0.10000,$0.30,
