Quantity,Description,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Customer Reference,Unit Price,Extended Price
1,BATTERY HOLDER CR 2032,36-1066-ND,1066,Keystone,,1.42,$1.42
5,CAP ALUM 220UF 20% 25V SMD,493-2278-1-ND,UUD1E221MNL1GS,Nichicon,,0.81,$4.05
7,CAP ALUM 22UF 20% 25V SMD,493-9513-1-ND,UUL1E220MCL1GS,Nichicon,,0.74,$5.18
3,CAP ALUM 4.7UF 20% 35V SMD,493-9537-1-ND,UUL1V4R7MCL1GS,Nichicon,,0.77,$2.31
4,CAP ALUM 470UF 20% 10V SMD,493-2252-1-ND,UUD1A471MNL1GS,Nichicon,,0.72,$2.88
12,CAP ALUM 47UF 20% 35V SMD,493-6458-1-ND,UUA1V470MNL1GS,Nichicon,,0.598,$7.17
4,CAP CER 0.047UF 50V X7R 1206,399-1246-1-ND,C1206C473K5RACTU,KEMET,,0.19,$0.76
56,CAP CER 0.1UF 50V X7R 1206,399-C1206C104K5RAC7800CT-ND,C1206C104K5RAC7800,KEMET,,0.0452,$2.44
10,CAP CER 0.22UF 50V X7R 1206,399-1251-1-ND,C1206C224K5RACTU,KEMET,,0.141,$1.41
1,CAP CER 0.33UF 16V X7R 1206,399-1253-1-ND,C1206C334K4RACTU,KEMET,,0.25,$0.25
4,CAP CER 10000PF 100V X7R 1206,399-1236-1-ND,C1206C103K1RACTU,KEMET,,0.19,$0.76
98,CAP CER 1000PF 50V X7R 1206,399-C1206C102K5RAC7210CT-ND,C1206C102K5RAC7210,KEMET,,0.0776,$7.60
1,CAP CER 10UF 16V X5R 1206,399-C1206C106K4PAC7210CT-ND,C1206C106K4PAC7210,KEMET,,0.31,$0.31
2,CAP CER 1UF 16V X7R 1206,399-1254-1-ND,C1206C105K4RACTU,KEMET,,0.19,$0.38
1,CAP CER 270PF 50V C0G/NP0 1206,399-1209-1-ND,C1206C271K5GACTU,KEMET,,0.41,$0.41
2,CAP CER 3900PF 50V X7R 1206,399-1229-1-ND,C1206C392K5RACTU,KEMET,,0.38,$0.76
2,CAP CER 47PF 50V C0G/NP0 1206,399-8191-1-ND,C1206C470K5GACTU,KEMET,,0.2,$0.40
2,CAP CER 6800PF 50V X7R 1206,399-1232-1-ND,C1206C682K5RACTU,KEMET,,0.38,$0.76
10,CAP CER SMD 1206 100PF 50V 10% X,399-17651-1-ND,C1206C101K5RAC7800,KEMET,,0.288,$2.88
43,CAP FEEDTHRU 100PF 100V 1206,478-11171-1-ND,W3F11A1018AT1F,AVX Corporation,,0.332,$14.27
2,CONN CARDEDGE FEMALE 36POS 0.100,A31716-ND,5530843-3,TE Connectivity AMP Connectors,Video Slot,2.94,$5.88
1,CONN CARDEDGE FEMALE 86POS 0.100,A144213-ND,1-5530843-0,TE Connectivity AMP Connectors,CPU Slot,7.14,$7.14
1,CONN D-SUB HD RCPT 15P R/A SLDR,AE11024-ND,AHDF15A-KG-TAXB,Assmann WSW Components,Video Port,1.3,$1.30
1,CONN D-SUB PLUG 9POS R/A SLDR,L17H2112120-ND,L17H2112120,Amphenol ICC (Commercial Products),Mouse/Joy,6.44,$6.44
1,CONN D-SUB PLUG/RCPT 25P R/A SLD,AE10996-ND,ASUB-277-25TP24,Assmann WSW Components,Serial/Parallel,6.69,$6.69
10,JACK SCREW 4-40,2092-JSX-1055-5.9-ND,JSX-1055-5.9,Kycon Inc.,D-Sub Jack Screws,0.242,$2.42
5,CONN EDGE DUAL FMALE 100POS .100,A121376-ND,5645235-3,TE Connectivity AMP Connectors,Zorro Slot,7.2,$36.00
1,CONN HEADER VERT 34POS 2.54MM,S2011EC-17-ND,PRPC017DAAN-RC,Sullins Connector Solutions,"Floppy header",0.76,$0.76
1,CONN HEADER VERT 24POS 4.2MM,WM3811-ND,39281243,Molex,ATX Power Connector,3.69,$3.69
6,CONN HEADER VERT 2POS 2.54MM,732-5315-ND,61300211121,Würth Elektronik,2-position header,0.13,$0.78
3,CONN IC DIP SOCKET 40POS TIN,3M5483-ND,4840-6004-CP,3M,Kickstart and CIA Socket,1.04,$3.12
