Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,6.8pF,C_0805_2012Metric,138.8872,-92.964,180.0,top
C2,6.8pF,C_0805_2012Metric,138.938,-95.758,180.0,top
C3,0.1uF,C_0805_2012Metric,149.225,-87.63,90.0,top
C4,0.1uF,C_0805_2012Metric,126.6952,-96.52,180.0,top
R1,10M,R_0805_2012Metric,143.764,-92.964,0.0,top
R2,100K,R_0805_2012Metric,143.764,-95.758,180.0,top
U1,74HC4060,SOIC-16_3.9x9.9mm_P1.27mm,141.7828,-86.1822,-90.0,top
U2,74HC73,SOIC-14_3.9x8.7mm_P1.27mm,129.1844,-90.2462,180.0,top
Y1,3.93216 MHz,Crystal_HC49-U_Vertical,149.643,-101.6,180.0,top
Y2,3.2768 MHz,Crystal_HC49-U_Vertical,129.54,-101.6,180.0,top
